country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Denmark,DK,DNK,5806081,,3,2020-08-11,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,0,2020-03-17,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,5,2020-10-05,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,0,2020-06-28,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,1,2020-05-10,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,0,2020-01-30,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,,0,2020-04-26,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,,0,2020-01-28,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,2020-07-18,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,0,2020-03-01,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,6,2020-04-29,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,,0,2020-06-22,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,0,2020-01-27,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,1,2020-09-11,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,58,2020-09-01,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,19,2020-06-27,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,,0,2020-06-25,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,2,2020-09-12,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,514,2020-03-25,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,2020-01-06,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,0,2020-03-03,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,,843,2020-04-12,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,,0,2020-05-09,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,3,2020-05-31,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,,0,2020-07-04,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,0,2020-02-21,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,33,2020-03-20,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,1,2020-08-28,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,,0,2020-06-30,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,1,2020-05-14,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,0,2020-05-30,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,,0,2020-06-02,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,6,2020-06-21,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,0,2020-03-06,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,2,2020-08-31,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,20,2020-09-03,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,2020-06-28,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,73,2020-10-16,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,,0,2020-01-20,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,,0,2020-08-26,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,0,2020-07-28,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,9,2020-04-21,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,5,2020-07-27,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,2020-08-25,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,2020-08-03,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,2020-07-20,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,13,2020-08-06,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,302,2020-04-11,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,4,2020-05-21,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,2020-01-05,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,11,2020-07-04,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,12,2020-05-22,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,2020-06-27,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,2020-09-08,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,5,2020-07-22,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,0,2020-02-22,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,3,2020-06-04,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,,0,2020-04-16,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,3,2020-05-18,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,1,2020-03-13,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,5,2020-04-10,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,2020-06-10,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,,0,2020-06-24,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,,7,2020-08-04,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,2020-09-28,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,12,2020-08-08,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,2020-06-16,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,0,2020-01-14,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,,0,2020-01-20,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,,0,2020-09-19,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,3,2020-06-24,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,2020-03-01,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,0,2020-03-06,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,,0,2020-09-04,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,48,2020-04-20,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,0,2020-03-07,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,3,2020-03-06,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,0,2020-01-10,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,11,2020-05-18,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,0,2020-07-25,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,,0,2020-07-28,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,10,2020-04-12,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,2,2020-08-13,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,,0,2020-03-19,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,2020-05-10,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,0,2020-08-18,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,0,2020-01-18,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,2020-04-24,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,9,2020-04-13,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,,0,2020-04-13,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,1,2020-08-04,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,2020-03-27,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,1,2020-05-02,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,,0,2020-02-16,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,,1,2020-07-13,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,40,2020-10-09,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,3,2020-07-14,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,0,2020-02-07,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,,0,2020-05-25,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,,0,2020-04-13,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,83,2020-09-01,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,2020-01-13,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,21,2020-04-18,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,,0,2020-09-03,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,2020-07-14,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,2,2020-08-27,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,,0,2020-01-06,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,42,2020-04-15,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,1,2020-04-22,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,2,2020-09-16,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,134,2020-07-06,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,2020-01-21,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,1,2020-04-08,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,2020-03-06,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,,0,2020-07-05,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,0,2020-01-07,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,2020-07-16,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,35,2020-10-16,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,1,2020-07-03,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,2020-02-18,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,2020-10-11,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,18,2020-06-24,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,88,2020-05-17,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,6,2020-05-08,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,1,2020-04-14,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,2020-01-30,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,2,2020-08-13,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,,0,2020-01-03,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,2020-04-05,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,0,2020-02-24,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,,0,2020-05-07,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,10,2020-04-24,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,0,2020-01-27,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,2020-02-19,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,1,2020-09-29,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,16,2020-10-08,"Epidemic intelligence, national daily data"
